symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-02-22 00:00:00+00:00,172.5,173.95,171.71,171.8,30504116,41.1188417058,41.4644783463,40.9305293293,40.9519826381,122016464,0.0,1.0
AAPL,2018-02-23 00:00:00+00:00,175.5,175.65,173.54,173.67,33329232,41.8339519964,41.8697075109,41.3667466066,41.3977347192,133316928,0.0,1.0
AAPL,2018-02-26 00:00:00+00:00,178.97,179.39,176.21,176.35,36886432,42.6610962324,42.7612116731,42.0031947651,42.0365665787,147545728,0.0,1.0
AAPL,2018-02-27 00:00:00+00:00,178.39,180.48,178.16,179.1,38685165,42.5228415763,43.0210350787,42.468016454,42.692084345,154740660,0.0,1.0
AAPL,2018-02-28 00:00:00+00:00,178.12,180.62,178.05,179.26,33604574,42.4584816501,43.0544068922,42.4417957433,42.7302235605,134418296,0.0,1.0
AAPL,2018-03-01 00:00:00+00:00,175.0,179.78,172.66,178.54,48801970,41.714766948,42.8541760109,41.1569809213,42.5585970908,195207880,0.0,1.0
AAPL,2018-03-02 00:00:00+00:00,176.21,176.3,172.45,172.8,38453950,42.0031947651,42.0246480739,41.106923201,41.1903527349,153815800,0.0,1.0
AAPL,2018-03-05 00:00:00+00:00,176.82,177.74,174.52,175.21,28401366,42.1486005242,42.3679010133,41.6003493015,41.7648246683,113605464,0.0,1.0
AAPL,2018-03-06 00:00:00+00:00,176.67,178.25,176.13,177.91,23788506,42.1128450097,42.4894697627,41.9841251574,42.4084239298,95154024,0.0,1.0
AAPL,2018-03-07 00:00:00+00:00,175.03,175.85,174.27,174.94,31703462,41.7219180509,41.9173815303,41.5407567773,41.7004647421,126813848,0.0,1.0
AAPL,2018-03-08 00:00:00+00:00,176.94,177.12,175.07,175.48,23163767,42.1772049358,42.2201115533,41.7314528547,41.8291845944,92655068,0.0,1.0
AAPL,2018-03-09 00:00:00+00:00,179.98,180.0,177.39,177.96,31385134,42.9018500303,42.9066174322,42.2844714794,42.4203424346,125540536,0.0,1.0
AAPL,2018-03-12 00:00:00+00:00,181.72,182.39,180.21,180.29,32055405,43.3166139988,43.4763219636,42.9566751525,42.9757447603,128221620,0.0,1.0
AAPL,2018-03-13 00:00:00+00:00,179.97,183.5,179.24,182.59,31168404,42.8994663293,43.7409127711,42.7254561586,43.523995983,124673616,0.0,1.0
AAPL,2018-03-14 00:00:00+00:00,178.44,180.52,177.81,180.32,29075469,42.5347600811,43.0305698825,42.3845869201,42.9828958632,116301876,0.0,1.0
AAPL,2018-03-15 00:00:00+00:00,178.65,180.24,178.07,178.5,22584565,42.5848178014,42.9638262554,42.4465631453,42.5490622869,90338260,0.0,1.0
AAPL,2018-03-16 00:00:00+00:00,178.02,179.12,177.62,178.65,36836456,42.4346446404,42.696851747,42.3392966017,42.5848178014,147345824,0.0,1.0
AAPL,2018-03-19 00:00:00+00:00,175.3,177.47,173.66,177.32,32804695,41.786277977,42.3035410872,41.3953510182,42.2677855726,131218780,0.0,1.0
AAPL,2018-03-20 00:00:00+00:00,175.24,176.8,174.94,175.24,19314039,41.7719757712,42.1438331223,41.7004647421,41.7719757712,77256156,0.0,1.0
AAPL,2018-03-21 00:00:00+00:00,171.27,175.09,171.26,175.04,35247358,40.8256464867,41.7362202567,40.8232627858,41.7243017518,140989432,0.0,1.0
AAPL,2018-03-22 00:00:00+00:00,168.85,172.68,168.6,170.0,41051076,40.2487908524,41.1617483233,40.1891983281,40.5229164637,164204304,0.0,1.0
AAPL,2018-03-23 00:00:00+00:00,164.94,169.92,164.94,168.39,40248954,39.3167637737,40.503846856,39.3167637737,40.1391406078,160995816,0.0,1.0
AAPL,2018-03-26 00:00:00+00:00,172.77,173.1,166.44,168.07,36272617,41.183201632,41.261863764,39.674318919,40.0628621768,145090468,0.0,1.0
AAPL,2018-03-27 00:00:00+00:00,168.34,175.15,166.92,173.68,38962839,40.127222103,41.7505224625,39.7887365654,41.4001184201,155851356,0.0,1.0
AAPL,2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545,39.6838537228,40.5276838657,39.3763562979,39.8673986974,166674180,0.0,1.0
AAPL,2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.81,38398505,39.9937348487,40.9400641332,39.7839691635,40.0008859516,153594020,0.0,1.0
AAPL,2018-04-02 00:00:00+00:00,166.68,168.94,164.47,166.64,37586791,39.7315277422,40.2702441611,39.2047298282,39.7219929383,150347164,0.0,1.0
AAPL,2018-04-03 00:00:00+00:00,168.39,168.75,164.88,167.64,30278046,40.1391406078,40.2249538427,39.3024615679,39.9603630352,121112184,0.0,1.0
AAPL,2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489,40.9066923197,41.0020403584,39.2762408572,39.3024615679,138421956,0.0,1.0
AAPL,2018-04-05 00:00:00+00:00,172.8,174.23,172.08,172.58,26933197,41.1903527349,41.5312219734,41.0187262652,41.1379113136,107732788,0.0,1.0
AAPL,2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290,40.1367569068,41.1140743039,40.0938502894,40.7541354577,140021160,0.0,1.0
AAPL,2018-04-09 00:00:00+00:00,170.05,173.09,169.85,169.88,29017718,40.5348349686,41.259480063,40.4871609492,40.4943120521,116070872,0.0,1.0
AAPL,2018-04-10 00:00:00+00:00,173.25,174.0,171.53,173.0,28614241,41.2976192785,41.4763968511,40.8876227119,41.2380267543,114456964,0.0,1.0
AAPL,2018-04-11 00:00:00+00:00,172.44,173.92,171.7,172.23,22431640,41.1045395,41.4573272434,40.9281456284,41.0544817797,89726560,0.0,1.0
AAPL,2018-04-12 00:00:00+00:00,174.14,175.0,173.04,173.41,22889285,41.5097686647,41.714766948,41.2475615581,41.335758494,91557140,0.0,1.0
AAPL,2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255,41.6504070218,41.9149978293,41.4406413366,41.6623255267,100497020,0.0,1.0
AAPL,2018-04-16 00:00:00+00:00,175.82,176.19,174.83,175.03,21578420,41.9102304274,41.9984273632,41.6742440315,41.7219180509,86313680,0.0,1.0
AAPL,2018-04-17 00:00:00+00:00,178.24,178.94,176.41,176.49,26605442,42.4870860617,42.6539451295,42.0508687845,42.0699383923,106421768,0.0,1.0
AAPL,2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538,42.391738023,42.6253407179,42.16290273,42.3845869201,83018152,0.0,1.0
AAPL,2018-04-19 00:00:00+00:00,172.8,175.39,172.66,173.76,34808800,41.1903527349,41.8077312857,41.1569809213,41.4191880279,139235200,0.0,1.0
AAPL,2018-04-20 00:00:00+00:00,165.72,171.22,165.43,170.6,65491140,39.5026924492,40.8137279819,39.4335651211,40.6659385218,261964560,0.0,1.0
AAPL,2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.83,36515477,39.3882748027,39.7887365654,39.1141491914,39.7672832567,146061908,0.0,1.0
AAPL,2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,38.84002358,39.6480982083,38.4300270134,39.4907739444,134768068,0.0,1.0
AAPL,2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,39.0092663488,39.4311814202,38.7136874287,38.763745149,113528336,0.0,1.0
AAPL,2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.145137304,39.5050761502,38.9425227216,39.1213002943,111852056,0.0,1.0
AAPL,2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164.0,35655839,38.69223412,39.1713580146,38.2893886563,39.0926958827,142623356,0.0,1.0
AAPL,2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.3930422047,39.8697823984,38.5778164735,38.6469438016,169709696,0.0,1.0
AAPL,2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.3083833766,40.3322203863,39.3954259057,39.6671678161,214277504,0.0,1.0
AAPL,2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.089008,42.3702847143,41.4287228317,41.7695920702,266157484,0.0,1.0
AAPL,2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.165286431,42.3106921901,41.5812796937,41.9245326332,136272720,0.0,1.0
AAPL,2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,43.8195749031,43.9196903438,42.470400155,42.4894697627,224805268,0.0,1.0
AAPL,2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.1366071319,44.734916075,44.0388753922,44.1413745338,169805692,0.0,1.0
AAPL,2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.3487565181,44.3892794346,43.7814356876,44.0960842154,113611108,0.0,1.0
AAPL,2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,44.661021345,44.6705561488,44.1509093377,44.4679415665,92844964,0.0,1.0
AAPL,2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.2998532045,45.3785153365,44.7301486731,44.7516019818,111957156,0.0,1.0
AAPL,2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.1282267348,45.4799871319,44.8554329574,45.3435902433,104848884,0.73,1.0
AAPL,2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,45.0229379084,45.3531619547,44.9535430001,45.2287297054,83115088,0.0,1.0
AAPL,2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,44.6137472423,44.7645016983,44.2930949075,44.69510679,94780636,0.0,1.0
