symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ZS,2022-02-08 00:00:00+00:00,270.71,273.75,259.08,260.57,2017494,270.71,273.75,259.08,260.57,2017494,0.0,1.0
ZS,2022-02-09 00:00:00+00:00,280.85,281.25,270.12,276.0,2173358,280.85,281.25,270.12,276.0,2173358,0.0,1.0
ZS,2022-02-10 00:00:00+00:00,284.1,290.47,274.21,276.52,2104358,284.1,290.47,274.21,276.52,2104358,0.0,1.0
ZS,2022-02-11 00:00:00+00:00,273.0,288.52,269.4347,285.07,2014963,273.0,288.52,269.4347,285.07,2014963,0.0,1.0
ZS,2022-02-14 00:00:00+00:00,274.43,283.45,272.5,273.52,2134321,274.43,283.45,272.5,273.52,2134321,0.0,1.0
ZS,2022-02-15 00:00:00+00:00,285.82,287.27,275.5,280.24,2136494,285.82,287.27,275.5,280.24,2136494,0.0,1.0
ZS,2022-02-16 00:00:00+00:00,280.87,286.89,277.25,284.11,1863124,280.87,286.89,277.25,284.11,1863124,0.0,1.0
ZS,2022-02-17 00:00:00+00:00,261.94,280.9033,259.38,280.9033,2325238,261.94,280.9033,259.38,280.9033,2325238,0.0,1.0
ZS,2022-02-18 00:00:00+00:00,255.22,264.52,253.2,264.52,2221151,255.22,264.52,253.2,264.52,2221151,0.0,1.0
ZS,2022-02-22 00:00:00+00:00,254.81,263.0,251.0,251.56,1662352,254.81,263.0,251.0,251.56,1662352,0.0,1.0
ZS,2022-02-23 00:00:00+00:00,239.4,265.45,239.11,262.5,3024603,239.4,265.45,239.11,262.5,3024603,0.0,1.0
ZS,2022-02-24 00:00:00+00:00,263.38,264.79,227.48,227.62,6517468,263.38,264.79,227.48,227.62,6517468,0.0,1.0
ZS,2022-02-25 00:00:00+00:00,221.85,228.0,206.0,224.49,12093101,221.85,228.0,206.0,224.49,12093101,0.0,1.0
ZS,2022-02-28 00:00:00+00:00,239.15,244.9468,227.16,228.42,6713634,239.15,244.9468,227.16,228.42,6713634,0.0,1.0
ZS,2022-03-01 00:00:00+00:00,247.83,260.8663,241.31,245.1,5707928,247.83,260.8663,241.31,245.1,5707928,0.0,1.0
ZS,2022-03-02 00:00:00+00:00,254.41,257.54,242.11,253.26,2968394,254.41,257.54,242.11,253.26,2968394,0.0,1.0
ZS,2022-03-03 00:00:00+00:00,242.03,256.41,238.3801,252.98,2799374,242.03,256.41,238.3801,252.98,2799374,0.0,1.0
ZS,2022-03-04 00:00:00+00:00,225.5,244.0,223.04,242.36,3614687,225.5,244.0,223.04,242.36,3614687,0.0,1.0
ZS,2022-03-07 00:00:00+00:00,204.37,229.97,204.36,228.37,4379337,204.37,229.97,204.36,228.37,4379337,0.0,1.0
ZS,2022-03-08 00:00:00+00:00,198.63,203.92,190.13,203.5,4389634,198.63,203.92,190.13,203.5,4389634,0.0,1.0
ZS,2022-03-09 00:00:00+00:00,212.35,213.57,199.12,203.84,3050554,212.35,213.57,199.12,203.84,3050554,0.0,1.0
ZS,2022-03-10 00:00:00+00:00,208.41,213.51,204.87,212.13,2305091,208.41,213.51,204.87,212.13,2305091,0.0,1.0
ZS,2022-03-11 00:00:00+00:00,201.14,211.67,200.5,211.02,1893573,201.14,211.67,200.5,211.02,1893573,0.0,1.0
ZS,2022-03-14 00:00:00+00:00,189.53,203.58,186.0,200.0,2968357,189.53,203.58,186.0,200.0,2968357,0.0,1.0
ZS,2022-03-15 00:00:00+00:00,196.61,197.215,186.24,190.85,2215771,196.61,197.215,186.24,190.85,2215771,0.0,1.0
ZS,2022-03-16 00:00:00+00:00,207.03,208.88,195.13,200.6,3084238,207.03,208.88,195.13,200.6,3084238,0.0,1.0
ZS,2022-03-17 00:00:00+00:00,214.83,216.33,202.56,204.41,1865936,214.83,216.33,202.56,204.41,1865936,0.0,1.0
ZS,2022-03-18 00:00:00+00:00,222.71,224.75,212.1201,213.81,5320986,222.71,224.75,212.1201,213.81,5320986,0.0,1.0
ZS,2022-03-21 00:00:00+00:00,220.86,221.16,210.9275,217.59,2355661,220.86,221.16,210.9275,217.59,2355661,0.0,1.0
ZS,2022-03-22 00:00:00+00:00,232.39,234.8599,218.75,219.7,2543563,232.39,234.8599,218.75,219.7,2543563,0.0,1.0
ZS,2022-03-23 00:00:00+00:00,233.38,238.47,224.65,229.46,1880125,233.38,238.47,224.65,229.46,1880125,0.0,1.0
ZS,2022-03-24 00:00:00+00:00,235.79,236.11,226.1401,233.3,1625106,235.79,236.11,226.1401,233.3,1625106,0.0,1.0
ZS,2022-03-25 00:00:00+00:00,230.32,237.62,224.61,237.52,1883612,230.32,237.62,224.61,237.52,1883612,0.0,1.0
ZS,2022-03-28 00:00:00+00:00,237.93,239.36,229.75,231.6,2227214,237.93,239.36,229.75,231.6,2227214,0.0,1.0
ZS,2022-03-29 00:00:00+00:00,243.99,247.95,236.41,242.17,1878609,243.99,247.95,236.41,242.17,1878609,0.0,1.0
ZS,2022-03-30 00:00:00+00:00,239.9,247.24,237.4,242.41,1226555,239.9,247.24,237.4,242.41,1226555,0.0,1.0
ZS,2022-03-31 00:00:00+00:00,241.28,246.82,236.4399,240.55,1705261,241.28,246.82,236.4399,240.55,1705261,0.0,1.0
ZS,2022-04-01 00:00:00+00:00,246.21,253.35,240.0,240.0,2174071,246.21,253.35,240.0,240.0,2174071,0.0,1.0
ZS,2022-04-04 00:00:00+00:00,252.11,253.74,247.21,247.67,1279994,252.11,253.74,247.21,247.67,1279994,0.0,1.0
ZS,2022-04-05 00:00:00+00:00,238.61,252.0,235.56,251.0,2447499,238.61,252.0,235.56,251.0,2447499,0.0,1.0
ZS,2022-04-06 00:00:00+00:00,226.07,233.95,222.66,233.89,2143727,226.07,233.95,222.66,233.89,2143727,0.0,1.0
ZS,2022-04-07 00:00:00+00:00,231.96,239.95,224.42,224.64,2768535,231.96,239.95,224.42,224.64,2768535,0.0,1.0
ZS,2022-04-08 00:00:00+00:00,226.79,233.28,225.97,231.03,1271484,226.79,233.28,225.97,231.03,1271484,0.0,1.0
ZS,2022-04-11 00:00:00+00:00,224.32,228.25,220.24,223.71,1643154,224.32,228.25,220.24,223.71,1643154,0.0,1.0
ZS,2022-04-12 00:00:00+00:00,223.0,236.09,221.1,228.48,2014269,223.0,236.09,221.1,228.48,2014269,0.0,1.0
ZS,2022-04-13 00:00:00+00:00,241.23,243.5,222.37,225.14,3102571,241.23,243.5,222.37,225.14,3102571,0.0,1.0
ZS,2022-04-14 00:00:00+00:00,230.84,240.61,230.0,240.01,1729710,230.84,240.61,230.0,240.01,1729710,0.0,1.0
ZS,2022-04-18 00:00:00+00:00,223.57,229.32,219.36,228.07,1617879,223.57,229.32,219.36,228.07,1617879,0.0,1.0
ZS,2022-04-19 00:00:00+00:00,228.79,231.36,219.07,222.0,1143408,228.79,231.36,219.07,222.0,1143408,0.0,1.0
ZS,2022-04-20 00:00:00+00:00,221.71,230.86,219.36,230.4,1176169,221.71,230.86,219.36,230.4,1176169,0.0,1.0
ZS,2022-04-21 00:00:00+00:00,211.47,230.9,210.51,224.77,1958433,211.47,230.9,210.51,224.77,1958433,0.0,1.0
ZS,2022-04-22 00:00:00+00:00,206.47,215.5,204.91,211.99,1517150,206.47,215.5,204.91,211.99,1517150,0.0,1.0
ZS,2022-04-25 00:00:00+00:00,216.79,217.22,204.12,204.92,1836906,216.79,217.22,204.12,204.92,1836906,0.0,1.0
ZS,2022-04-26 00:00:00+00:00,207.31,215.55,207.05,215.55,1598570,207.31,215.55,207.05,215.55,1598570,0.0,1.0
ZS,2022-04-27 00:00:00+00:00,204.76,211.3,203.73,204.84,1461937,204.76,211.3,203.73,204.84,1461937,0.0,1.0
ZS,2022-04-28 00:00:00+00:00,213.59,215.74,202.66,208.9,1555760,213.59,215.74,202.66,208.9,1555760,0.0,1.0
